naslov,avtor,cas_priprave,cas_kuhanja,stevilo_ocenjevalcev,ocena,dieta,zvrst
" Bacon chop with hispi cabbage, lovage and a parsley sauce",Angela Hartnett,0-30,30-60,0,0.0,0,Main course
" Baked pasta shells stuffed with cheese, tomato and fennel sauce",Matt Tebbutt,0-30,30-60,1,5.0,Vegetarian,Main course
" Pan-fried red mullet, baked pink fir potato, crab and saffron aioli",Bryn Williams,0-30,30-60,0,0.0,0,Main course
 Rum and orange doughnuts with chocolate sauce and orange custard,Matt Tebbutt,0-30,10-30,0,0.0,0,Desserts
 Slow-cooked ox cheek with kale and mashed potato,Freddy Bird ,30-60,00-120,5,5.0,0,Recipe
 Spiced chicken flatbread with Lebanese chicken salad,James Martin,overnight,30-60,0,0.0,0,Main course
 Thai massaman dal ,Lucy Parker,0-30,30-60,10,4.7,Vegetarian,Main course
 Torta pasqualina (Giant green pie),Donal Skehan,0-30,30-60,1,5.0,Vegetarian,Main course
'Butter' tofu curry,Sophie Whitbread,0-30,30-60,2,5.0,Vegetarian,Main course
'Dragon prawn' noodles,Ching-He Huang,30-60,10-30,0,0.0,0,Main course
'Lighter' chicken pasta bake ,Justine Pattison,0-30,30-60,32,3.19,0,Main course
'Lion head' meatballs,Ching-He Huang,0-30,10-30,1,5.0,0,Main course
'Mont Blanc' chocolate and chestnut meringue,The Hairy Bikers,0-30,60-120,1,5.0,Vegetarian,Desserts
'Mr Carrot' on creamed carrot,Brian Turner,0-30,0-10,0,0.0,Vegetarian,Side dishes
'Nduja sausage and sheeps’ cheese pizza,James Martin,overnight,0-10,1,5.0,0,Main course
'Nduja stuffed chicken with romesco sauce and flatbreads,Shauna Froydenlund,1-20,60-120,1,5.0,0,Main course
"'Scampi', chips and tartare sauce",James Martin,0-30,10-30,0,0.0,0,Main course
'Tex-Mex' chilli beans,James Tanner,0-30,10-30,5,2.2,Vegetarian,Recipe
15 minute pasta,Mary Berry,0-30,10-30,10,5.0,0,Main course
2-hour Christmas dinner,Justine Pattison,30-60,60-120,4,4.75,0,Main course
3 salad dressings,Justine Pattison,0-30,0,3,4.33,0,Other
3 stir-fry sauces,Justine Pattison,0-30,0-10,3,4.33,Vegetarian,Other
3D biscuits ,Mari Williams,0-30,60-120,2,5.0,Vegetarian,Cakes and baking
5-ingredient chickpea coconut curry,Justine Pattison,0-30,0-10,11,4.45,Vegetarian,Main course
5-ingredient cookies,Annie Rigg,0-30,10-30,2,5.0,Vegetarian,Cakes and baking
5-ingredient sausage pasta ,Annie Rigg,0-30,10-30,26,4.58,0,Recipe
5-minute chicken noodle soup ,Emerald Lewis,0-30,0-10,9,3.89,0,Light meals and snacks
6-ingredient Chinese stir-fry,Sarah Cook,0-30,10-30,3,5.0,Vegetarian,Main course
6-ingredient vegetable noodles,Lucy Parker,0-30,0-10,1,5.0,Vegetarian,Main course
A classic sponge cake,Delia Smith,0-30,30-60,7,4.29,0,Cakes and baking
A return to the Black Forest,Delia Smith,1-20,10-30,1,5.0,Vegetarian,Cakes and baking
Aberdeen butteries (Rowies),The Hairy Bikers,1-20,30-60,3,2.33,0,Cakes and baking
Ackee and saltfish,Simon Rimmer,overnight,30-60,1,5.0,0,Main course
Ackee and saltfish,Andi Oliver,0-30,10-30,1,5.0,0,Main course
Adaptable bean soup,Nigel Slater,0-30,10-30,11,5.0,0,Light meals and snacks
Adhraki gosht (lamb masala in a tomato and ginger sauce),Andy Varma,0-30,30-60,0,0.0,0,Main course
Adjaruli khachapuri (Georgian bread),Donal Skehan,1-20,30-60,0,0.0,0,Light meals and snacks
Affogato,Rachel Roddy,0-30,0,5,4.0,Vegetarian,Desserts
Aged sirloin steak with Thai salad and toasted hazelnuts,James Martin,0-30,0-10,0,0.0,0,Main course
Ajitsuke tamago (Japanese pickled eggs),The Hairy Bikers,overnight,0-10,0,0.0,Vegetarian,Side dishes
Ajo blanco,The Hairy Bikers,00-120,0-10,0,0.0,Vegetarian,Light meals and snacks
Ajwain parathas ,Manju Malhi,0-30,10-30,1,5.0,Vegetarian,Side dishes
Albanian baked lamb with rice (Tavë kosi),Rick Stein,0-30,60-120,18,4.61,0,Main course
Ale fruit loaf,Elizabeth Guy,overnight,60-120,1,5.0,Vegetarian,Cakes and baking
All-butter puff pastry,Lorraine Pascale,00-120,0,0,0.0,Vegetarian,Other
All-day breakfast frittata,Emily Angle,0-30,10-30,10,5.0,0,Main course
All-in-one turkey,Catherine Fulvio,30-60,00-120,3,5.0,0,Main course
All-in-one white sauce,Justine Pattison,0-30,10-30,4,4.0,Vegetarian,Other
Almond and orange tart,Matt Tebbutt,0-30,60-120,2,5.0,Vegetarian,Desserts
Almond and pear tart with orange crème fraîche,Kate Smith,30-60,60-120,2,3.5,Vegetarian,Desserts
Almond cake with pears poached in red wine ,The King Family,0-30,60-120,0,0.0,0,Recipe
Almond lentil stew,Nigel Slater,0-30,30-60,12,4.58,Vegetarian,Main course
Almond praline,Phil Vickery,0-30,0-10,0,0.0,Vegetarian,Desserts
Almond puddings with Christmas pudding ice cream,John Torode,1-20,30-60,0,0.0,Vegetarian,Desserts
Almond rice pudding and cherry compôte,The Hairy Bikers,0-30,30-60,0,0.0,Vegetarian,Desserts
Almond semifreddo,Katie and Giancarlo Caldesi,overnight,0,1,5.0,Vegetarian,Desserts
Almond tart,Rick Stein,30-60,30-60,8,4.88,Vegetarian,Cakes and baking
"Almond, cranberry and orange biscotti",Jane Beedle,0-30,30-60,1,5.0,Vegetarian,Cakes and baking
Almond-crusted salmon with chilli spinach,Gino D'Acampo,0-30,10-30,0,0.0,0,Main course
Almond-rolled goats' cheese,Simon Rimmer,0-30,10-30,0,0.0,Vegetarian,Starters and nibbles
Aloo baingun (veggie potato and aubergine curry),The Gangotra Family,0-30,30-60,1,5.0,Vegetarian,Main course
Aloo gobi ,Sarah Woods,0-30,30-60,8,4.38,Vegetarian,Main course
Aloo gobi and jeera rice,The Gangotra Family,0-30,10-30,12,5.0,Vegetarian,Main course
Alpine cheese soup,Richard Bainbridge,0-30,10-30,3,5.0,0,Light meals and snacks
Alpine pizza,Antonio Carluccio and Gennaro Contaldo,30-60,0-10,7,5.0,0,Main course
Amalfi lemon risotto with crab salad,Diego Cardoso,overnight,10-30,2,5.0,0,Main course
Amaretti biscuits,Gino D'Acampo,0-30,10-30,15,3.93,Vegetarian,Cakes and baking
Amaretto semifreddo with roasted peaches,Matt Tebbutt,00-120,30-60,0,0.0,Vegetarian,Desserts
American baked cheesecake,James Martin,0-30,30-60,1,5.0,Vegetarian,Cakes and baking
American style pancakes with sausage,The Hairy Bikers,0-30,10-30,0,0.0,0,Brunch
American-style pancakes with bacon and maple syrup,James Martin,0-30,10-30,5,5.0,0,Brunch
An authentic ragù bolognese,Delia Smith,00-120,00-120,6,5.0,0,Other
Anardana chana (pomegranate and chickpea curry),The Gangotra Family,overnight,60-120,1,5.0,Vegetarian,Light meals and snacks
Anatra con melagrana (duck with pomegranate) and sautéed escarole,Gennaro Contaldo,0-30,10-30,0,0.0,0,Main course
Anchovy and sage crisps,The Hairy Bikers,0-30,10-30,1,5.0,0,Starters and nibbles
Anchovy salade Niçoise,Simon Hopkinson,0-30,0,4,3.75,0,Light meals and snacks
Anchoïade dip,James Martin,0-30,0-10,1,5.0,0,Other
Anchoïade with crudites,James Martin,0-30,0-10,0,0.0,0,Starters and nibbles
Anda paratha,Sumayya Usmani,0-30,10-30,6,4.5,Vegetarian,Light meals and snacks
"Andalucian pork with apricots, prunes and herbs, rolled in paprika",James Martin,overnight,10-30,1,5.0,0,Main course
Angel food cake with lemon curd,Mary Berry,1-20,30-60,4,5.0,Vegetarian,Cakes and baking
"Angel hair pasta with salmon, cream and chive sauce",Nick Nairn,0-30,0-10,3,4.67,0,Main course
Angela's slow roasted ginger pork,Angela Boggiano,0-30,00-120,1,4.0,0,Main course
Anolini in brodo (meat filled pasta in chicken broth),Angela Hartnett,1-20,00-120,0,0.0,0,Main course
Antony's 'mainstay' mince,Antony Worrall Thompson,30-60,00-120,2,5.0,0,Main course
Any greens pie,Emily Angle,0-30,30-60,14,4.57,Vegetarian,Main course
Anything-goes frittata,Dr Rupy Aujla,0-30,10-30,9,4.89,Vegetarian,Light meals and snacks
Apple and Wensleydale pie,Paul Hollywood,30-60,10-30,3,5.0,Vegetarian,Desserts
Apple and blackberry charlotte,James Martin,0-30,30-60,0,0.0,Vegetarian,Desserts
Apple and blueberry cobbler,Colleen Bennett,0-30,30-60,0,0.0,Vegetarian,Desserts
Apple and blueberry pie,James Martin,0-30,10-30,2,4.5,Vegetarian,Desserts
Apple and cinnamon breakfast pot,Fiona Hunter,overnight,0,2,5.0,Vegetarian,Brunch
Apple and passion fruit tartlets,Michel Roux,00-120,10-30,1,5.0,Vegetarian,Desserts
Apple and pear crumble ,Hattie Ellis,0-30,30-60,11,4.09,Vegetarian,Cakes and baking
Apple and pecan tart,Matt Tebbutt,0-30,30-60,0,0.0,Vegetarian,Cakes and baking
Apple and raisin muffins,Tom Kerridge,0-30,10-30,16,4.31,Vegetarian,Cakes and baking
Apple and rhubarb muffins,Jo Brewer,0-30,10-30,4,5.0,Vegetarian,Cakes and baking
Apple and syrup steamed pudding with plum and apple compôte and homemade custard,James Martin,0-30,60-120,0,0.0,Vegetarian,Desserts
Apple and toffee crumble pie ,Tom Kerridge,30-60,60-120,1,4.0,Vegetarian,Desserts
Apple and white chocolate rocky road ,Nadiya Hussain,1-20,0-10,11,4.18,0,Desserts
Apple bread pudding,The Hairy Bikers,0-30,10-30,8,5.0,Vegetarian,Desserts
Apple cake,Simon Rimmer,0-30,60-120,15,4.47,Vegetarian,Cakes and baking
Apple charlotte with caramel sauce,Simon Rimmer,0-30,30-60,0,0.0,Vegetarian,Desserts
Apple cider cake with mascarpone,Simon Rimmer,0-30,30-60,0,0.0,Vegetarian,Cakes and baking
Apple compôte,Michael Caines,0-30,30-60,1,5.0,Vegetarian,Desserts
Apple croustade with Armagnac custard,Nick Nairn,0-30,10-30,2,3.0,Vegetarian,Desserts
Apple crumble cake,Hattie Ellis,0-30,30-60,15,4.67,Vegetarian,Cakes and baking
Apple crumble with cardamom custard,The Marks Family,0-30,30-60,2,4.5,Vegetarian,Desserts
Apple crumble with star anise,Tony Singh,0-30,30-60,4,5.0,Vegetarian,Desserts
Apple crumble with walnuts,Mary Berry,0-30,30-60,11,4.91,Vegetarian,Desserts
Apple crêpes with calvados,Delia Smith,0-30,10-30,0,0.0,Vegetarian,Desserts
Apple dappy,Kate Morris and Sally Brown,0-30,10-30,3,2.33,Vegetarian,Cakes and baking
Apple elderflower cooler,Emily Angle,0-30,0,2,5.0,Vegetarian,Drinks and cocktails
Apple frangipane tart,Mary Berry,0-30,10-30,17,4.65,Vegetarian,Cakes and baking
Apple momos,Nadiya Hussain,30-60,30-60,1,5.0,Vegetarian,Desserts
Apple palm pies,Nadiya Hussain,0-30,10-30,16,4.38,Vegetarian,Desserts
Apple pie,The Hairy Bikers,30-60,10-30,2,5.0,Vegetarian,Cakes and baking
"Apple rings with ginger, lemon and black pepper tahini spread",Hemsley + Hemsley,0-30,0,2,5.0,Vegetarian,Light meals and snacks
Apple sandwich cake,Mary Berry,0-30,10-30,40,4.92,Vegetarian,Cakes and baking
Apple sorbet,Hugh Fearnley-Whittingstall,30-60,0,2,5.0,Vegetarian,Desserts
Apple strudel,Rick Stein,0-30,30-60,10,4.7,Vegetarian,Cakes and baking
Apple tart 'Maman Blanc',Raymond Blanc,30-60,10-30,7,4.86,0,Cakes and baking
Apple tart with blackberry sorbet,Simon Rimmer,0-30,10-30,1,5.0,Vegetarian,Desserts
Apple tart with spiced caramel sauce,James Martin,0-30,10-30,0,0.0,Vegetarian,Desserts
Apple tart with vanilla ice cream,James Martin,0-30,30-60,0,0.0,Vegetarian,Desserts
Apple tarte tatin,Oliver Rowe,00-120,30-60,11,4.18,Vegetarian,Desserts
"Apple, blackberry and cinnamon chutney",Lorraine Pascale,0-30,60-120,3,4.67,Vegetarian,Other
"Apple, cherry and marzipan pie ",Ruby Tandoh,1-20,30-60,0,0.0,Vegetarian,Cakes and baking
"Apple, date and ginger chutney",Jo Pratt,00-120,10-30,1,4.0,Vegetarian,Other
"Apple, hazelnut and Calvados upside-down cake",Cathryn Dresser,overnight,60-120,1,5.0,Vegetarian,Cakes and baking
"Apple, pork and cheddar burger with chips",Brian Turner,0-30,10-30,0,0.0,0,Recipe
"Apple, raisin and coconut porridge with spiced sugar",Paul Rankin,0-30,10-30,0,0.0,Vegetarian,Desserts
"Apple, rocket and feta buckwheat galettes",Hemsley + Hemsley,1-20,30-60,1,5.0,Vegetarian,Main course
"Apple, sultana and cinnamon swirls",Val,1-20,30-60,2,4.5,Vegetarian,Cakes and baking
Apricot almond cake with rosewater and cardamom,Nigella Lawson,0-30,30-60,9,4.56,Vegetarian,Cakes and baking
Apricot and almond biscotti with limoncello,James Martin,30-60,30-60,1,3.0,Vegetarian,Cakes and baking
Apricot and almond crumble ,Justine Pattison,0-30,30-60,1,5.0,0,Desserts
Apricot and almond tart with brown bread and banana ice cream,Jack Monroe,1-20,60-120,6,3.5,Vegetarian,Desserts
Apricot and brandy Christmas cake,Mary Berry,overnight,00-120,6,5.0,Vegetarian,Cakes and baking
Apricot and chocolate bars,Dr Rupy Aujla,0-30,0,22,4.73,Vegetarian,Light meals and snacks
Apricot brioche tart,Mary Berry,0-30,30-60,2,5.0,Vegetarian,Desserts
Apricot couronne,Paul Hollywood,1-20,30-60,4,4.25,0,Cakes and baking
Apricot frangipane tart,Mary Berry,30-60,30-60,6,4.5,Vegetarian,Cakes and baking
Apricot tarte tatin,The Hairy Bikers,30-60,10-30,12,4.0,Vegetarian,Desserts
"Apricot, carrot and almond jam",Dan Lepard,0-30,30-60,0,0.0,Vegetarian,Other
"Apricot, chestnut and aduki balls with roasted vegetables and white wine miso gravy",Hemsley + Hemsley,0-30,60-120,0,0.0,Vegetarian,Main course
"Apricot, date and pistachio flapjacks",Tom Kerridge,0-30,30-60,22,3.36,Vegetarian,Cakes and baking
Arancini with deep-fried courgette flowers,James Martin,0-30,0-10,0,0.0,0,Starters and nibbles
Arancini with ragu (arancine al ragù),Rachel Roddy,00-120,60-120,0,0.0,0,Main course
Arancini with tomato and olive tapenade ,Simon Rimmer,0-30,30-60,1,4.0,Vegetarian,Starters and nibbles
Arbroath smokie fish cakes with chive sauce,James Martin,0-30,10-30,0,0.0,0,Main course
Arbroath smokie fishcakes with tomato salsa,Paul Rankin,0-30,10-30,1,5.0,0,Recipe
Arbroath smokie pâté with soft quails’ eggs and beetroot,James Martin,30-60,0,0,0.0,0,Starters and nibbles
Arbroath-smokie fish cakes with chilli jam,James Martin,0-30,10-30,1,4.0,0,Starters and nibbles
Arctic roll,James Martin,00-120,10-30,0,0.0,Vegetarian,Desserts
Arctic roll,Matt Tebbutt,30-60,10-30,1,4.0,Vegetarian,Desserts
Arlettes,Paul Hollywood,00-120,10-30,2,5.0,Vegetarian,Cakes and baking
Arnold Bennett omelette with radish and fennel salad,James Martin,0-30,10-30,1,5.0,0,Light meals and snacks
